Division,Country,Plant,Source,Packaging,Format,Brand,Product,Test Type,Test,Prod Date,Test Method,Min Spec,Max Spec,Result,Unit Of Measure,Acceptable,Lab Id,Coa Number
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,Coliforms,23-Jan-15,MFHPB 17,-,10.1,<1,CFU-ML,Yes,350906344,37699917-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,Coliforms,20-Dec-14,MFHPB 17,-,10.1,<1,CFU-ML,Yes,350316691,37625247-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,Coliforms,3-Nov-14,MFHPB 17,-,10.1,<1,CFU-ML,Yes,349381666,37503846-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,Coliforms,25-May-15,MFHPB-35,-,10.1,<1,CFU-ML,Yes,353377645,38027687-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,E. Coli,15-Feb-15,Modified MFHPB-19,-,0.3,<0.3,MPN-ML,Yes,351360080,37759925-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,E. Coli,24-Jan-15,Modified MFHPB-19,-,0.3,<0.3,MPN-ML,Yes,350908903,37703380-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,E. Coli,27-Nov-14,Modified MFHPB-19,-,0.3,<0.3,MPN-ML,Yes,349807073,37567805-0
Danone Waters,Spain                                                                           ,"Danone Waters- San Benedetto, Spain",San Benedetto                                                                   ,PET                                                                             ,1.25 L                                                                          ,FontVella                                                                       ,Danone Water  ,Production,E. Coli,2-Feb-15,Modified MFHPB-19,-,0.3,<0.3,MPN-ML,Yes,351080173,37725870-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Production,Listeria spp,20-Dec-14,MFLP-15,-,-,Negative,PER-SWAB,Yes,350323781,37625248-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Production,Listeria spp,20-Dec-14,MFLP-15,-,-,Negative,PER-SWAB,Yes,350323919,37625248-0
